ID,Created,Name,Description,Playlist URL
f8f67be9c56c43198bcc499ca670d271,2022-06-23T07:04:15Z,Songs That Make You LOL,,https://open.spotify.com/playlist/2sbuHm71gCkDUyCwiEmAOl
04234a257f5549409063d9e6813d0e09,2022-06-23T07:04:16Z,Songs That Are Not Actually About First Contact But Are About First Contact,,https://open.spotify.com/playlist/0IEAgjOUZbhSZRfBm3Kc7f
6bf5258f6f014bb7847bd21f303aeaf5,2022-06-23T07:04:16Z,Songs That Remind You Of Your First Crush,,https://open.spotify.com/playlist/2iw2xIrQ2ELOWOOWh8NaKk
2ebeef103601448487c78487e7778a8b,2022-06-23T07:04:16Z,Emotion: Betrayal,Songs that are about the emotion of betrayal,https://open.spotify.com/playlist/1GSVJjmX9yCvD2oyLaMHiH
2fdb7b76a171427b831063f1c4d57efe,2022-06-23T07:05:15Z,Dixit Theme,Image: https://discord.com/channels/688949001219080276/844062139857633310/989424522144927775,https://open.spotify.com/playlist/0S82FemipBzXuITCAENiZb
