ID,Created,Name,Description,Playlist URL
d91688d218684b0b82e1578d9c2c562a,2022-09-15T11:28:21Z,Songs With Depth That Allow You To Find More With Each Play,Q: doesn't this require us to listen to the playlist like a lot? Don't got no time for that,https://open.spotify.com/playlist/4epHN3m851GgRcKEJgjRKS
799a1f4926d44590a30ee7bddc80dbbf,2022-09-15T11:28:21Z,The Human Voice is the Weirdest Instrument of All,Music that features the human voice doing weird shit,https://open.spotify.com/playlist/1pvHptJ1ZX0QWwY52UXdnM
da15b3a521f945a7a6b3ad4c7d9fee4b,2022-09-15T11:28:21Z,Emotion: Admiration,Songs that are about the emotion of admiration,https://open.spotify.com/playlist/3fqxaXxEQxaGA46fXNZE44
3e145b04569243b1aa13fef679e4ba48,2022-09-15T11:28:22Z,Medical Emergencies,Lyrics containing symptoms you should talk to your doctor about,https://open.spotify.com/playlist/1TekuIfVhEDfK5ZJ7KdCTO
065a879ebb804c018c36f4586ea0be2e,2022-09-15T11:28:22Z,Dixit Theme,Image: https://discord.com/channels/688949001219080276/844062139857633310/1019932468037566494,https://open.spotify.com/playlist/1Eu5nlWPiKVSLSmM0uXUpx
