ID,Created,Name,Description,Playlist URL
6e6d6d9948a742058f6e88981fecb08e,2022-02-16T17:41:27Z,Song for a Night of Social Deduction Games,,https://open.spotify.com/playlist/5Yqm3Ze1XyDZxRurcD8s6m
10f5b4e065714997a2ad0d5d0604cb8f,2022-03-04T05:30:47Z,Songs That Are Not About Vampires But Are About Vampires,,https://open.spotify.com/playlist/4OmTW2wo4ILiFZMlW3L4aB
ddd31d8081724e7dbe169266b6fe2336,2022-03-04T05:30:47Z,AIR GUITAR SOLOS,,https://open.spotify.com/playlist/4IVAB49uNhR70hA2hgyQOW
e5797c612fc34ff69f3424171717d0eb,2022-03-04T05:30:48Z,Emotion: Boredom,songs that remind you of feeling bored (NOT songs that are boring),https://open.spotify.com/playlist/4mXfZKWcKEgI40Fbov7N8H
3c6d9cc2664f446dba083e26793f57e4,2022-03-04T05:30:48Z,"""It's Too Late"" Songs",The protagonist wants something to happen but it will not happen because it's too late,https://open.spotify.com/playlist/0HrZwwdDtHQrVpa5twvdgZ
