Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3nCghxfsyu6WuyCiXiYOOT,b1d3b6bb237f476daab860bce327dbd6,2022-03-09T01:14:10Z,4,"I usually don't like super slow covers, but this one was creepy and perfect. Excellent submission!",6e6d6d9948a742058f6e88981fecb08e
spotify:track:3sGfVqsXBflIQEbRhyztWC,b1d3b6bb237f476daab860bce327dbd6,2022-03-09T01:14:10Z,1,Love it! I giggled.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:49fMoo4BSpdpr00r2ESLRq,b1d3b6bb237f476daab860bce327dbd6,2022-03-09T01:14:10Z,5,"Holy s***. This is hands-down one of my favorite songs, and I love listening to it while playing battlestar Galactica. Have on my points. Take them.",6e6d6d9948a742058f6e88981fecb08e
spotify:track:08o75xMKmGrKny6GsXrNJW,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,3,I never lie in a social deduction game. I just leave out the truth. It's much more fun that way.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:0cJPLFrlV7TTCyPLupHzcH,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,2,I will definitely get fooled again.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:1VDrr7mGwySr0hOBHOexTx,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,0,Guys...where are we?,6e6d6d9948a742058f6e88981fecb08e
spotify:track:49fMoo4BSpdpr00r2ESLRq,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,2,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6DCALWbYX0BCOAGy0hMmRs,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6UtpOAQMPOYVDHBhj0o0CF,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,0,[insert joke about Scarlett Johansson saying Trust In Me while taking non-white roles here],6e6d6d9948a742058f6e88981fecb08e
spotify:track:6v1jIacWXqK1FeSEnadbIt,d21152e7d3cd4a69b0951abdfe3e1480,2022-03-09T11:32:58Z,2,"This was a bit of a mood whiplash, and as I suggested something that would cause confusion...",6e6d6d9948a742058f6e88981fecb08e
spotify:track:3nCghxfsyu6WuyCiXiYOOT,b0415b544bb44324a6afca46625ea1a7,2022-03-09T13:44:48Z,5,This is hilarious. It sounds like it's from the Oblivion Soundtrack. *Great* cover for the playlist.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6ceIv84bid4f4cyPC4QmcW,b0415b544bb44324a6afca46625ea1a7,2022-03-09T13:44:48Z,2,Pretty great pick. Like the cover.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6v1jIacWXqK1FeSEnadbIt,b0415b544bb44324a6afca46625ea1a7,2022-03-09T13:44:48Z,2,Kudos to picking a non-obvious song with great lyrical relavance.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:7jDzFuIove9R2ZjwAL3Cok,b0415b544bb44324a6afca46625ea1a7,2022-03-09T13:44:48Z,1,Paddy? So different... Gotta give a point for sticking to his guns.,6e6d6d9948a742058f6e88981fecb08e
spotify:track:0cJPLFrlV7TTCyPLupHzcH,6ce162a9365146b1913d3e4c9736c280,2022-03-09T23:15:15Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:49fMoo4BSpdpr00r2ESLRq,6ce162a9365146b1913d3e4c9736c280,2022-03-09T23:15:15Z,4,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6DCALWbYX0BCOAGy0hMmRs,6ce162a9365146b1913d3e4c9736c280,2022-03-09T23:15:15Z,2,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6UtpOAQMPOYVDHBhj0o0CF,6ce162a9365146b1913d3e4c9736c280,2022-03-09T23:15:15Z,2,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:7jDzFuIove9R2ZjwAL3Cok,6ce162a9365146b1913d3e4c9736c280,2022-03-09T23:15:15Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:08o75xMKmGrKny6GsXrNJW,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,2,"The 80s really did a number on the great UK acts from the 70s, but still this song is fun so points",6e6d6d9948a742058f6e88981fecb08e
spotify:track:0cJPLFrlV7TTCyPLupHzcH,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,0,I won't get fooled ... into voting for this song,6e6d6d9948a742058f6e88981fecb08e
spotify:track:1VDrr7mGwySr0hOBHOexTx,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,4,"Points for being the only actual song on this list you'd play during a night of social deduction.  But, why this particular track?  Want to hear the submittor's thoughts.",6e6d6d9948a742058f6e88981fecb08e
spotify:track:3sGfVqsXBflIQEbRhyztWC,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6ceIv84bid4f4cyPC4QmcW,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6DCALWbYX0BCOAGy0hMmRs,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6v1jIacWXqK1FeSEnadbIt,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:7jDzFuIove9R2ZjwAL3Cok,36d943fd539042239fb5646d50d0a9ad,2022-03-10T04:32:49Z,0,Are you saying social deduction is dumb?,6e6d6d9948a742058f6e88981fecb08e
spotify:track:08o75xMKmGrKny6GsXrNJW,b980e47a32c74ddb9f30e77e1959157a,2022-03-10T23:58:49Z,2,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:0cJPLFrlV7TTCyPLupHzcH,b980e47a32c74ddb9f30e77e1959157a,2022-03-10T23:58:49Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6ceIv84bid4f4cyPC4QmcW,b980e47a32c74ddb9f30e77e1959157a,2022-03-10T23:58:49Z,2,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6UtpOAQMPOYVDHBhj0o0CF,b980e47a32c74ddb9f30e77e1959157a,2022-03-10T23:58:49Z,3,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6v1jIacWXqK1FeSEnadbIt,b980e47a32c74ddb9f30e77e1959157a,2022-03-10T23:58:49Z,2,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:08o75xMKmGrKny6GsXrNJW,19eff85db4e848b5883f12fff6042b18,2022-03-11T05:04:12Z,3,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:2HInokqfDF4CUbjLPWyZH5,19eff85db4e848b5883f12fff6042b18,2022-03-11T05:04:12Z,0,I did Footloose in HS and this song makes me die of embarrassment. ,6e6d6d9948a742058f6e88981fecb08e
spotify:track:3nCghxfsyu6WuyCiXiYOOT,19eff85db4e848b5883f12fff6042b18,2022-03-11T05:04:12Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:3sGfVqsXBflIQEbRhyztWC,19eff85db4e848b5883f12fff6042b18,2022-03-11T05:04:12Z,3,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:49fMoo4BSpdpr00r2ESLRq,19eff85db4e848b5883f12fff6042b18,2022-03-11T05:04:12Z,3,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:08o75xMKmGrKny6GsXrNJW,43c8053c706643709c37d432b5118001,2022-03-11T19:10:20Z,1,I always forget how long Fleetwood Mac has been around,6e6d6d9948a742058f6e88981fecb08e
spotify:track:0cJPLFrlV7TTCyPLupHzcH,43c8053c706643709c37d432b5118001,2022-03-11T19:10:20Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:1VDrr7mGwySr0hOBHOexTx,43c8053c706643709c37d432b5118001,2022-03-11T19:10:20Z,1,,6e6d6d9948a742058f6e88981fecb08e
spotify:track:3nCghxfsyu6WuyCiXiYOOT,43c8053c706643709c37d432b5118001,2022-03-11T19:10:20Z,1,"Oooh I would've submitted the original if I had thought of it, excellent song!",6e6d6d9948a742058f6e88981fecb08e
spotify:track:49fMoo4BSpdpr00r2ESLRq,43c8053c706643709c37d432b5118001,2022-03-11T19:10:20Z,1,I need to watch this series at some point,6e6d6d9948a742058f6e88981fecb08e
spotify:track:6ceIv84bid4f4cyPC4QmcW,43c8053c706643709c37d432b5118001,2022-03-11T19:10:20Z,3,Ooof hits me in the acoustic feels... hoping to get out to hear live music like this over the summer!,6e6d6d9948a742058f6e88981fecb08e
