Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1W4RMOFDnkeBg53pUPjsaG,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,"Bit of a sassy cat on the prowl vibe, but it didn't really work for me. ",1fb4c20afd3d4978b3ce6017e9311443
spotify:track:2MiX5yjl5t1W4HgM6zTbDC,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,3,"This song was touching and beautiful. It really went it's own direction and instead of playing up the aloofness of cats, it painted a picture of a lonely stray. I nearly cried listening to this song. Way to pull the emotional votes out of me!",1fb4c20afd3d4978b3ce6017e9311443
spotify:track:2P6tZcjwlxq8wX1K5c9mqN,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,"Didn't give me any cat vibes, sadly.",1fb4c20afd3d4978b3ce6017e9311443
spotify:track:39shmbIHICJ2Wxnk1fPSdz,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,2,Always love the 80s! And this song really made me envision a cat doing it's thing to charm you.,1fb4c20afd3d4978b3ce6017e9311443
spotify:track:3XF5xLJHOQQRbWya6hBp7d,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,Didn't really work for me. The melody and the lyrics just didn't make me think about cats.,1fb4c20afd3d4978b3ce6017e9311443
spotify:track:4E0GvuF0fAPAbAJ4EEEfnH,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,1,Excellent song in general! I appreciate the cat knocking stuff off the table or shredding toilet paper rolls imagery it made me think of.,1fb4c20afd3d4978b3ce6017e9311443
spotify:track:5awDvzxWfd53SSrsRZ8pXO,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,Going for the rambunctious kitten energy here!,1fb4c20afd3d4978b3ce6017e9311443
spotify:track:5PbCpQEQnc7xXBv5aoN2Tl,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,4,"Amazing choice. Perfectly illustrates the flighty antisocial tendency of some cats.
Love it! And go Willow Pill!",1fb4c20afd3d4978b3ce6017e9311443
spotify:track:5ugzDiilhy6ILKmKfhEzd7,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,"This came off more like the owner talking down to their cat. Interesting angle, but it was not my favorite approach. But I do appreciate the perspective switch. Instead of the cat singing, you're singing to the cat.",1fb4c20afd3d4978b3ce6017e9311443
spotify:track:6u7gmPOz7pzzaeR9xSBpsR,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,Very cute take on petting a kitty.,1fb4c20afd3d4978b3ce6017e9311443
spotify:track:7zrPswSV1yxrill5OyCuaU,aedc4565fdc141dab917c4e1ce203306,2022-05-04T01:51:20Z,0,"Sorry, I didn't like this song. Too many blatant drug references for my liking. It took me out of thinking about cats immediately. ",1fb4c20afd3d4978b3ce6017e9311443
spotify:track:1W4RMOFDnkeBg53pUPjsaG,73a6a74b341d438a844c64841efaaa2a,2022-05-04T13:01:24Z,0,My wife said her grandma used to play this alot. 'nuff said?,1fb4c20afd3d4978b3ce6017e9311443
spotify:track:2MiX5yjl5t1W4HgM6zTbDC,73a6a74b341d438a844c64841efaaa2a,2022-05-04T13:01:24Z,0,"""Once In My Life"" - The number of times I've listened to The Decemberists.",1fb4c20afd3d4978b3ce6017e9311443
