ID,Created,Name,Description,Playlist URL
1fb4c20afd3d4978b3ce6017e9311443,2022-04-29T18:09:30Z,Songs That Are Not Actually About Cats But Are About Cats,,https://open.spotify.com/playlist/2L3vZvSGigfHp8twVIwrxi
b9864dfb7bde459d97c153d900c42914,2022-04-29T18:09:30Z,Inappropriate Songs You Might Actually Hear At A Kid's Birthday Party,No KidzBop pleaseeeeee,https://open.spotify.com/playlist/3uoP1nz8InVuWLebQi9Baz
a5072228d2c446ee8932177568dde27b,2022-04-29T18:09:30Z,Emotion Round: Awe,Songs that are about the emotion of awe (not necessarily songs that make you feel awe),https://open.spotify.com/playlist/7e9oYP4pGix6GRhkLo8SoR
178e8b4bad9e47c9b803151ac925f7f5,2022-04-29T18:09:31Z,Word Salad: Songs Where the Lyrics Make Little Sense But Still Somehow Are Amazing,,https://open.spotify.com/playlist/6AbphxC0vDCyspKI4LpexN
08465db1937449078d9921affa84e454,2022-04-29T18:09:31Z,Favorite Song with a Non-Conventional / Non-Western Instrument Prominently Featured,,https://open.spotify.com/playlist/62xxCkamHFSk3qHMfjywpH
