ID,Created,Name,Description,Playlist URL
21bc7b6193ec4bad85f6e40bf02e1ffa,2023-01-27T07:24:33Z,In the Dark Woods,"The song that while it would be the most appropriate to hear while walking through a dark woods at night, you might not want to listen to it.",https://open.spotify.com/playlist/7HHjepaRvmeJv4OMnMySzi
41f567947c284ffe824a7ec733af711d,2023-01-27T07:24:33Z,Songs Where the Protagonist Describes a Favorite Time in Their Life,,https://open.spotify.com/playlist/0sKrDvFe6fifcZuFpjrcU3
0f89c9f0b8134e4eb59401626b6a0101,2023-01-27T07:24:33Z,Prime Directive,Songs about about not interfering in the development of others,https://open.spotify.com/playlist/6A21e4cyJndjgM7W8KYKbD
19387d740ea14c278e0e4b8a2730e2e6,2023-01-27T07:24:33Z,Nicola Tesla's favorite songs,Songs that you think Nicola Tesla would especially enjoy,https://open.spotify.com/playlist/2SUnSeeimXOFyhpojFSggH
b985489035a345db8814c1932459953e,2023-01-27T07:25:48Z,Dixit Round,Image here: https://discord.com/channels/688949001219080276/844062139857633310/1068430523740983377,https://open.spotify.com/playlist/6fIiVX2jeU2k4dMO10N1Ct
