ID,Created,Name,Description,Playlist URL
10f27abc678c450a8e79c787d04966f6,2023-04-13T13:14:00Z,Songs to Make Your Bread Rise,"Take your time, keep warm.  Bread takes hours to rise, so something you could listen to for a while during the wait. Bonus points if the song envelopes you like a warm blanket, since bread usually rises better at warm room temperatures.

Clarification. Prompt is not meant to be sexual.",https://open.spotify.com/playlist/13paEBQsRmSbnxDEwaqOpi
714ccd6b3bae44d989618db70290c5fe,2023-04-13T13:14:00Z,A Capital Affair,Songs with US or world state capitals in the title or lyrics,https://open.spotify.com/playlist/5Z5EMyOwcOkGsgeHFpRlcq
2eef55f4757b4085a29902b29363fbc6,2023-04-13T13:14:00Z,Emotion Round: Joy,Songs about the emotion of joy,https://open.spotify.com/playlist/7J4Uuvmt8peJBtfRvIaXlO
fb4afc285cab4a77a4194f9823c96c7b,2023-04-13T13:14:00Z,Songs for welcoming our robot overlords,,https://open.spotify.com/playlist/58wJx6VfPp1Gl7hrKmz9B0
6ea95b87a6e943f1994c0c7cf8be80f7,2023-04-13T13:14:00Z,Dixit Theme,https://discord.com/channels/688949001219080276/844062139857633310/1096060589274562601,https://open.spotify.com/playlist/2x7bEJx9ldrrgCNHq39udb
